v, i
0.100, 70.611
0.200, 67.608
0.300, 67.873
0.400, 68.126
0.500, 67.823
0.600, 67.322
0.700, 66.230
0.800, 66.703
0.900, 67.258
1.000, 64.885
1.100, 66.114
1.200, 64.998
1.300, 65.557
1.400, 65.456
1.500, 63.640
1.600, 63.816
1.700, 65.291
1.800, 64.186
1.900, 64.396
2.000, 62.519
2.100, 64.370
2.200, 62.791
2.300, 62.071
2.400, 63.483
2.500, 61.895
2.600, 61.697
2.700, 61.876
2.800, 62.448
2.900, 60.478
3.000, 61.715
3.100, 59.858
3.200, 61.422
3.300, 60.192
3.400, 60.443
3.500, 59.035
3.600, 58.849
3.700, 59.361
3.800, 58.024
3.900, 57.471
4.000, 57.983
4.100, 56.621
4.200, 55.249
4.300, 56.322
4.400, 53.356
4.500, 53.280
4.600, 50.453
4.700, 48.946
4.800, 43.257
4.900, 38.271
5.000, 32.117
5.100, 24.593
5.200, 16.237
5.300, 8.514
