v,i
0.100,128.274
0.200,121.908
0.300,117.543
0.400,122.799
0.500,118.210
0.600,121.171
0.700,116.413
0.800,119.357
0.900,113.769
1.000,113.504
1.100,118.830
1.200,113.744
1.300,111.943
1.400,117.111
1.500,112.410
1.600,116.136
1.700,111.887
1.800,115.203
1.900,108.402
2.000,115.501
2.100,107.131
2.200,108.289
2.300,112.426
2.400,105.782
2.500,112.386
2.600,104.760
2.700,103.903
2.800,110.502
2.900,102.546
3.000,107.818
3.100,101.448
3.200,100.006
3.300,105.247
3.400,98.067
3.500,103.354
3.600,93.962
3.700,94.059
3.800,98.073
3.900,94.956
4.000,87.496
4.100,86.145
4.200,86.212
4.300,78.231
4.400,78.608
4.500,69.113
4.600,63.752
4.700,60.774
4.800,50.429
4.900,44.022
5.000,32.802
5.100,24.643
5.200,11.950
