Time,Vcc
1.221762802,1.477
1.221862642,1.477
1.221962482,1.483
1.222062322,1.483
1.222162162,1.488
1.222262002,1.488
1.222361842,1.493
1.222461682,1.493
1.222561522,1.498
1.222661362,1.498
1.222761202,1.498
1.222861042,1.503
1.222960882,1.503
1.223060722,1.508
1.223160562,1.508
1.223260402,1.513
1.223360242,1.513
1.223460082,1.513
1.223559922,1.518
1.223659762,1.518
1.223759602,1.524
1.223859442,1.524
1.223959282,1.529
1.224059122,1.529
1.224158962,1.534
1.224258802,1.534
1.224358642,1.534
1.224458482,1.539
1.224558322,1.539
1.224658162,1.544
1.224758002,1.544
1.224857842,1.544
1.224957682,1.549
1.225057522,1.549
1.225157362,1.554
1.225257202,1.554
1.225357042,1.559
1.225456882,1.559
1.225556722,1.564
1.225656562,1.564
1.225756402,1.564
1.225856242,1.570
1.225956082,1.575
1.226055922,1.575
1.226155762,1.575
1.226255602,1.580
1.226355442,1.580
1.226455282,1.585
1.226555122,1.585
1.226654962,1.590
1.226754802,1.590
1.226854642,1.590
1.226954482,1.595
1.227054322,1.595
1.227154162,1.600
1.227254002,1.600
1.227353842,1.600
1.227453682,1.605
1.227553522,1.605
1.227653362,1.610
1.227753202,1.610
1.227853042,1.616
1.227952882,1.616
1.228052722,1.616
1.228152562,1.621
1.228252402,1.621
1.228352242,1.626
1.228452082,1.626
1.228551922,1.631
1.228651762,1.631
1.228751602,1.631
1.228851442,1.636
1.228951282,1.636
1.229051122,1.641
1.229150962,1.641
1.229250802,1.641
1.229350642,1.646
1.229450482,1.646
1.229550322,1.651
1.229650162,1.651
1.229750002,1.657
1.229849842,1.657
1.229949682,1.657
1.230049522,1.662
1.230149362,1.662
1.230249202,1.667
1.230349042,1.667
1.230448882,1.672
1.230548722,1.672
1.230648562,1.672
1.230748402,1.677
1.230848242,1.677
1.230948082,1.682
1.231047922,1.682
1.231147762,1.682
1.231247602,1.687
1.231347442,1.687
1.231447282,1.692
1.231547122,1.692
1.231646962,1.697
1.231746802,1.697
1.231846642,1.703
1.231946482,1.703
1.232046322,1.703
1.232146162,1.708
1.232246002,1.708
1.232345842,1.713
1.232445682,1.713
1.232545522,1.718
1.232645362,1.718
1.232745202,1.718
1.232845042,1.723
1.232944882,1.723
1.233044722,1.728
1.233144562,1.728
