DATE (MM/DD/YYYY),TOT Global Horizontal [kW-hr/m^2],MAX Global Horizontal [W/m^2]
4/6/2010,6.2246,987.0530
4/7/2010,7.5837,993.2870
4/8/2010,7.6080,995.0640
4/9/2010,6.9886,976.9280
4/10/2010,5.6336,1221.0700
4/11/2010,2.4796,605.6660
4/12/2010,6.9358,1119.7300
4/13/2010,7.5099,1103.6300
4/14/2010,7.5191,1027.4100
4/15/2010,6.6050,1013.2200
4/16/2010,7.4990,1000.2200
4/17/2010,6.6699,1072.4900
4/18/2010,6.9684,1071.9300
4/19/2010,7.2160,993.8390
4/20/2010,2.9804,731.3720
4/21/2010,6.8692,1084.1800
4/22/2010,4.7780,975.6830
4/23/2010,7.9726,1014.3100
4/24/2010,7.3498,1037.1000
4/25/2010,6.5108,1253.9700
4/26/2010,4.0425,929.1440
4/27/2010,3.7162,1003.5800
4/28/2010,8.1618,1028.3100
4/29/2010,8.2916,1038.1800
4/30/2010,8.3104,1034.8600
5/1/2010,8.2171,1022.8400
5/2/2010,8.0648,1011.3000
5/3/2010,8.1273,1015.1500
5/4/2010,8.0644,1250.3700
5/5/2010,7.7971,1077.6200
5/6/2010,8.1863,1021.0000
5/7/2010,8.2447,1019.2900
5/8/2010,8.2907,1032.6600
5/9/2010,6.9386,1244.8700
5/10/2010,8.0471,1021.9000
5/11/2010,8.5222,1050.0100
5/12/2010,8.3612,1042.5300
5/13/2010,8.1333,1026.2300
5/14/2010,7.3138,1116.2000
5/15/2010,5.1410,1346.3900
5/16/2010,4.7878,1222.5700
5/17/2010,3.4252,1404.1900
5/18/2010,3.7205,1027.6800
5/19/2010,5.3757,1182.9000
5/20/2010,8.2589,1018.0100
5/21/2010,8.2178,1029.4800
5/22/2010,8.6737,1043.9200
5/23/2010,7.6843,1332.0900
5/24/2010,8.0225,1104.8100
5/25/2010,8.5482,1174.9500
5/26/2010,7.8198,1162.7800
5/27/2010,5.3330,1079.6400
5/28/2010,7.4945,1313.1300
5/29/2010,8.8526,1054.1000
5/30/2010,8.8344,1053.1900
5/31/2010,8.3094,1028.6500
6/1/2010,6.9085,1102.0700
6/2/2010,6.2447,1313.5800
6/3/2010,6.0035,1088.1200
6/4/2010,5.1636,1069.8100
6/5/2010,6.3519,1128.0300
6/6/2010,5.6420,1391.7800
6/7/2010,4.8592,1219.5500
6/8/2010,4.4939,945.6180
6/9/2010,7.3503,1192.1600
6/10/2010,7.9110,1032.3800
6/11/2010,8.1463,1091.5200
6/12/2010,6.9135,1162.9500
6/13/2010,4.2971,1324.7200
6/14/2010,5.5931,1324.8200
6/15/2010,7.4854,1145.1800
6/16/2010,7.4033,1226.9000
6/17/2010,8.1632,1042.8000
6/18/2010,7.3106,1100.0200
6/19/2010,7.5888,1071.4200
6/20/2010,8.7045,1031.1500
6/21/2010,6.7523,1316.1200
6/22/2010,7.3952,1139.5500
6/23/2010,7.7880,1039.1800
6/24/2010,7.8885,1039.5400
6/25/2010,7.7570,1055.4600
6/26/2010,6.0105,1116.0900
6/27/2010,6.0158,1267.7800
6/28/2010,4.9363,1183.9000
6/29/2010,3.6710,1023.0500
6/30/2010,3.5585,1297.2600
7/1/2010,6.0108,1302.5300
7/2/2010,7.8457,1398.0600
7/3/2010,5.4242,1181.7700
7/4/2010,6.2248,1337.6800
7/5/2010,3.9619,993.4420
7/6/2010,4.9931,921.7460
7/7/2010,4.3077,866.6880
7/8/2010,3.3426,881.1080
7/9/2010,4.2527,854.2450
7/10/2010,4.7788,1292.7700
7/11/2010,4.3094,1291.8400
7/12/2010,5.4297,1205.4000
7/13/2010,8.3436,998.9860
7/14/2010,8.2385,988.2300
7/15/2010,8.0735,972.8410
7/16/2010,6.7922,1093.1500
7/17/2010,8.0595,972.4760
7/18/2010,8.0635,980.4560
7/19/2010,7.6744,982.7810
7/20/2010,0.0003,0.3368
7/21/2010,0.0000,0.0463
7/22/2010,0.3707,444.3090
7/23/2010,5.8330,1334.6400
7/24/2010,7.8188,1129.7600
7/25/2010,5.7630,1281.0300
7/26/2010,4.8713,1104.5200
7/27/2010,5.3381,1294.0000
7/28/2010,8.0904,1012.2600
7/29/2010,8.2032,1003.1700
7/30/2010,7.0853,1228.4500
7/31/2010,5.3553,1143.8100
8/1/2010,6.8797,1207.6400
8/2/2010,6.0277,1340.1700
8/3/2010,7.5106,1217.8500
8/4/2010,7.2790,1026.9100
8/5/2010,6.7352,1017.0400
8/6/2010,6.7602,1075.4300
8/7/2010,6.5778,1138.9800
8/8/2010,6.9713,1054.6400
8/9/2010,7.4847,1083.7600
8/10/2010,7.3556,1016.1700
8/11/2010,7.2563,1013.1200
8/12/2010,7.2990,1002.9500
8/13/2010,6.6146,1287.2900
8/14/2010,7.3379,1091.8800
8/15/2010,7.2732,1248.3300
8/16/2010,7.6102,1044.1200
8/17/2010,7.4121,937.8470
8/18/2010,7.0350,966.1450
8/19/2010,7.4220,953.3040
8/20/2010,7.7125,981.0600
8/21/2010,7.4793,958.2650
8/22/2010,7.4966,955.9860
8/23/2010,7.8147,991.3850
8/24/2010,7.3704,946.6960
8/25/2010,7.3570,927.4710
8/26/2010,7.1872,929.7970
8/27/2010,5.5895,1185.4400
8/28/2010,5.8222,1122.1200
8/29/2010,6.6214,941.0930
8/30/2010,7.1642,942.0500
8/31/2010,7.2427,944.5110
9/1/2010,6.2593,1101.5500
9/2/2010,5.0684,1182.2400
9/3/2010,6.6010,1123.5500
9/4/2010,7.1505,954.7550
9/5/2010,5.2760,1063.2900
9/6/2010,5.7378,1098.0100
9/7/2010,1.3503,243.7120
9/8/2010,3.1833,827.4560
9/9/2010,6.4145,933.7380
9/10/2010,6.8721,928.8990
9/11/2010,3.0109,566.6140
9/12/2010,4.9056,1167.1100
9/13/2010,6.0995,905.0390
9/14/2010,6.7837,917.5010
9/15/2010,6.4041,934.9510
9/16/2010,5.4537,1130.4300
9/17/2010,6.3379,925.9840
9/18/2010,4.8261,1012.7900
9/19/2010,5.6666,1068.6500
9/20/2010,3.8328,1029.0200
9/21/2010,1.5299,355.5290
